CD008686	 AF	2521444	 1	 0.004741699491269205	 autotar_ranker
CD008686	 AF	9456961	 2	 0.004673461408393631	 autotar_ranker
CD008686	 AF	12887953	 3	 0.004470098277631592	 autotar_ranker
CD008686	 AF	10361935	 4	 0.004291336565659849	 autotar_ranker
CD008686	 AF	15221575	 5	 0.004038915598579032	 autotar_ranker
CD008686	 AF	15510932	 6	 0.0030893096205668984	 autotar_ranker
CD008686	 AF	21188062	 7	 0.003058696407591501	 autotar_ranker
CD008686	 AF	7658235	 8	 0.0027483225818706997	 autotar_ranker
CD008686	 AF	19790072	 9	 0.002710041898604271	 autotar_ranker
CD008686	 AF	21934544	 10	 0.0025803515495690216	 autotar_ranker
CD008686	 AF	19066642	 11	 0.002492106869634044	 autotar_ranker
CD008686	 AF	9178791	 12	 0.0024482531025165977	 autotar_ranker
CD008686	 AF	10584107	 13	 0.0023813529072042325	 autotar_ranker
CD008686	 AF	8191307	 14	 0.002330414292176439	 autotar_ranker
CD008686	 AF	18536201	 15	 0.002293671727193693	 autotar_ranker
CD008686	 AF	1533356	 16	 0.002282754780282552	 autotar_ranker
CD008686	 AF	21274980	 17	 0.002276853795724087	 autotar_ranker
CD008686	 AF	1932970	 18	 0.002245035449638247	 autotar_ranker
CD008686	 AF	17482117	 19	 0.0022444282972368572	 autotar_ranker
CD008686	 AF	4278185	 20	 0.002239381581146874	 autotar_ranker
CD008686	 AF	16684634	 21	 0.0022335700288846324	 autotar_ranker
CD008686	 AF	4086763	 22	 0.0022304143934610463	 autotar_ranker
CD008686	 AF	19790051	 23	 0.0022265766461601415	 autotar_ranker
CD008686	 AF	10223094	 24	 0.002200344302625212	 autotar_ranker
CD008686	 AF	2952045	 25	 0.002198583004845863	 autotar_ranker
CD008686	 AF	143603	 26	 0.0021949187583601335	 autotar_ranker
CD008686	 AF	9224245	 27	 0.0021927781343558175	 autotar_ranker
CD008686	 AF	16963376	 28	 0.0021624768833120355	 autotar_ranker
CD008686	 AF	15949776	 29	 0.0021512124801788273	 autotar_ranker
CD008686	 AF	16103830	 30	 0.00212825258103732	 autotar_ranker
CD008686	 AF	9515543	 31	 0.002081769315154368	 autotar_ranker
CD008686	 AF	9618579	 32	 0.002077870842257232	 autotar_ranker
CD008686	 AF	19468872	 33	 0.0020654324415058526	 autotar_ranker
CD008686	 AF	15553951	 34	 0.002061371733796325	 autotar_ranker
CD008686	 AF	8784936	 35	 0.00205306496675795	 autotar_ranker
CD008686	 AF	11253517	 36	 0.002052345174793498	 autotar_ranker
CD008686	 AF	7314967	 37	 0.002043209161204955	 autotar_ranker
CD008686	 AF	8600878	 38	 0.002037742489802258	 autotar_ranker
CD008686	 AF	9884291	 39	 0.0020306518752033448	 autotar_ranker
CD008686	 AF	8884708	 40	 0.0020244311065368893	 autotar_ranker
CD008686	 AF	7606828	 41	 0.0020086779836843757	 autotar_ranker
CD008686	 AF	21928007	 42	 0.00200132830213948	 autotar_ranker
CD008686	 AF	17987205	 43	 0.001997552929277807	 autotar_ranker
CD008686	 AF	22335313	 44	 0.0019957546351425707	 autotar_ranker
CD008686	 AF	9608617	 45	 0.0019928948522470505	 autotar_ranker
CD008686	 AF	6224295	 46	 0.001990995662542577	 autotar_ranker
CD008686	 AF	10750882	 47	 0.001981191701786639	 autotar_ranker
CD008686	 AF	17599642	 48	 0.0019774547502612993	 autotar_ranker
CD008686	 AF	17097418	 49	 0.0019647225419092804	 autotar_ranker
CD008686	 AF	2143065	 50	 0.0019627625942123645	 autotar_ranker
CD008686	 AF	17566791	 51	 0.001955523221966298	 autotar_ranker
CD008686	 AF	11180753	 52	 0.0019468663512925183	 autotar_ranker
CD008686	 AF	2140124	 53	 0.001945882637002961	 autotar_ranker
