#,target_recall,Dataset,model,recall,cost,reliability,loss_er,rel_err
1,1,CLEF2017,OR,1,0.133,1,0.005,0
2,1,CLEF2017,TM,0.978,0.614,0.567,0.292,0.022
3,1,CLEF2017,TM-adapted,1,0.988,1,0.468,0.01
4,1,CLEF2017,Knee,0.998,0.291,0.833,0.041,0.002
5,1,CLEF2017,SCAL,0.984,0.659,0.7,0.253,0.016
6,1,CLEF2017,SD-training,0.999,0.997,0.967,0.466,0.01
7,1,CLEF2017,SD-sampling,0.973,0.762,0.533,0.311,0.027
8,1,CLEF2017,AutoStop,0.999,0.625,0.967,0.161,0.001
9,1,CLEF2017,IP-H,0.97,0.213,0.9,0.037,0.03
10,1,CLEF2018,OR,1,0.161,1,0.007,0
11,1,CLEF2018,TM,0.983,0.594,0.5,0.251,0.017
2,0.9,CLEF2017,TM-adapted,0.974,0.697,1,0.358,0.082
13,1,CLEF2018,Knee,0.994,0.328,0.7,0.047,0.006
14,1,CLEF2018,SCAL,0.982,0.657,0.6,0.233,0.018
15,1,CLEF2018,SD-training,1,0.996,1,0.394,0.01
16,1,CLEF2018,SD-sampling,0.964,0.688,0.533,0.18,0.036
17,1,CLEF2018,AutoStop,0.992,0.662,0.967,0.163,0.008
7,0.9,CLEF2017,IP-H,0.955,0.147,0.9,0.036,0.123
19,1,CLEF2019,OR,1,0.116,1,0.009,0
20,1,CLEF2019,TM,0.985,0.753,0.645,0.428,0.015
2,0.8,CLEF2017,TM-adapted,0.923,0.527,0.967,0.277,0.157
22,1,CLEF2019,Knee,0.998,0.42,0.968,0.122,0.002
23,1,CLEF2019,SCAL,0.993,0.808,0.839,0.41,0.007
24,1,CLEF2019,SD-training,0.999,0.992,0.968,0.545,0.01
25,1,CLEF2019,SD-sampling,0.974,0.767,0.623,0.306,0.028
26,1,CLEF2019,AutoStop,1,0.651,1,0.223,0
7,0.8,CLEF2017,IP-H,0.949,0.137,0.9,0.037,0.231
28,1,TR,OR,1,0.043,1,0,0
29,1,TR,TM,0.944,0.12,0.147,0.024,0.056
12,1,CLEF2018,TM-adapted,1,0.982,1,0.396,0.01
31,1,TR,Knee,0.96,0.016,0.088,0.005,0.04
32,1,TR,SCAL,0.991,0.146,0.147,0.079,0.081
33,1,TR,SD-training,1,1,1,0.122,0.01
34,1,TR,SD-sampling,0.988,0.944,0.941,0.106,0.022
35,1,TR,AutoStop,1,0.779,0.941,0.1,0
18,1,CLEF2018,IP-H,0.956,0.212,0.8,0.035,0.044
37,1,Legal,OR,1,0.326,1,0.001,0
38,1,Legal,TM,0.953,0.147,0,0.003,0.047
9,0.9,CLEF2018,TM-adapted,0.968,0.647,1,0.299,0.075
40,1,Legal,Knee,0.966,0.287,0.5,0.004,0.034
41,1,Legal,SCAL,0.039,0.005,0,0.924,0.961
42,1,Legal,SD-training,1,1,1,0.007,0.101
43,1,Legal,SD-sampling,1,1,1,0.007,0.01
44,1,Legal,AutoStop,0.996,0.833,0,0.005,0.004
14,0.9,CLEF2018,IP-H,0.941,0.141,0.833,0.03,0.115
1,0.9,CLEF2017,OR,0.923,0.057,1,0.009,0.026
9,0.8,CLEF2018,TM-adapted,0.914,0.479,0.967,0.226,0.143
3,0.9,CLEF2017,SCAL,0.914,0.496,0.667,0.168,0.072
4,0.9,CLEF2017,SD-training,0.955,0.691,0.833,0.233,0.08
5,0.9,CLEF2017,SD-sampling,0.902,0.506,0.567,0.192,0.071
6,0.9,CLEF2017,AutoStop,0.884,0.421,0.5,0.097,0.069
14,0.8,CLEF2018,IP-H,0.936,0.134,0.933,0.031,0.215
8,0.9,CLEF2018,OR,0.912,0.067,1,0.01,0.013
21,1,CLEF2019,TM-adapted,1,1,1,0.552,0.01
10,0.9,CLEF2018,SCAL,0.902,0.493,0.667,0.154,0.074
11,0.9,CLEF2018,SD-training,0.972,0.701,0.967,0.196,0.082
12,0.9,CLEF2018,SD-sampling,0.855,0.379,0.367,0.077,0.08
13,0.9,CLEF2018,AutoStop,0.892,0.441,0.6,0.098,0.046
27,1,CLEF2019,IP-H,0.988,0.266,0.935,0.049,0.012
15,0.9,CLEF2019,OR,0.929,0.071,1,0.011,0.033
16,0.9,CLEF2019,TM-adapted,0.986,0.815,1,0.466,0.096
17,0.9,CLEF2019,SCAL,0.893,0.621,0.516,0.271,0.082
18,0.9,CLEF2019,SD-training,0.94,0.713,0.774,0.295,0.092
19,0.9,CLEF2019,SD-sampling,0.893,0.517,0.508,0.198,0.072
20,0.9,CLEF2019,AutoStop,0.878,0.479,0.387,0.159,0.072
21,0.9,CLEF2019,IP-H,0.984,0.214,0.968,0.043,0.11
22,0.9,TR,OR,0.902,0.005,1,0.01,0.003
16,0.8,CLEF2019,TM-adapted,0.951,0.704,0.968,0.414,0.189
24,0.9,TR,SCAL,0.903,0.144,0.647,0.083,0.094
25,0.9,TR,SD-training,1,1,1,0.122,0.111
26,0.9,TR,SD-sampling,0.936,0.779,0.794,0.102,0.133
27,0.9,TR,AutoStop,0.953,0.766,0.941,0.103,0.062
21,0.8,CLEF2019,IP-H,0.982,0.209,0.968,0.043,0.238
29,0.9,Legal,OR,0.9,0.04,1,0.01,0
39,1,TR,TM-adapted,0.997,0.673,1,0.117,0.007
31,0.9,Legal,SCAL,0.039,0.005,0,0.924,0.957
32,0.9,Legal,SD-training,1,1,1,0.007,0.111
33,0.9,Legal,SD-sampling,1,1,1,0.007,0.111
34,0.9,Legal,AutoStop,0.803,0.811,0,0.043,0.108
45,1,Legal,IP-H,0.87,0.225,0,0.034,0.13
1,0.8,CLEF2017,OR,0.834,0.043,1,0.033,0.042
30,0.9,TR,TM-adapted,0.933,0.18,1,0.051,0.037
3,0.8,CLEF2017,SCAL,0.888,0.451,0.8,0.177,0.138
4,0.8,CLEF2017,SD-training,0.881,0.417,0.767,0.109,0.148
5,0.8,CLEF2017,SD-sampling,0.798,0.35,0.433,0.17,0.077
6,0.8,CLEF2017,AutoStop,0.787,0.335,0.367,0.105,0.088
35,0.9,Legal,IP-H,0.846,0.038,0.5,0.035,0.117
8,0.8,CLEF2018,OR,0.812,0.051,1,0.037,0.015
30,0.8,TR,TM-adapted,0.861,0.096,1,0.036,0.076
10,0.8,CLEF2018,SCAL,0.862,0.428,0.767,0.144,0.119
11,0.8,CLEF2018,SD-training,0.886,0.414,0.833,0.086,0.141
12,0.8,CLEF2018,SD-sampling,0.753,0.258,0.367,0.099,0.121
13,0.8,CLEF2018,AutoStop,0.781,0.347,0.467,0.104,0.064
35,0.8,Legal,IP-H,0.793,0.025,0.5,0.045,0.065
15,0.8,CLEF2019,OR,0.83,0.057,1,0.035,0.037
30,1,Legal,TM-adapted,0.993,0.453,1,0.002,0.003
17,0.8,CLEF2019,SCAL,0.887,0.577,0.903,0.261,0.134
18,0.8,CLEF2019,SD-training,0.826,0.421,0.613,0.146,0.155
19,0.8,CLEF2019,SD-sampling,0.787,0.366,0.475,0.166,0.111
20,0.8,CLEF2019,AutoStop,0.791,0.397,0.452,0.158,0.111
36,1,TR,IP-H,1,0.046,0.765,0,0
22,0.8,TR,OR,0.802,0.004,1,0.039,0.003
23,0.9,Legal,TM-adapted,0.913,0.12,1,0.007,0.015
24,0.8,TR,SCAL,0.761,0.107,0.676,0.167,0.247
25,0.8,TR,SD-training,1,1,1,0.122,0.25
